10022-29385-12746	 0.1318238   0.68766368  0.51158282  0.64585617  0.78234451  0.42240407   0.4431335   0.97134494  0.65286323  0.65067131  0.77404587  0.04138032   0.73308951  0.12407285  0.51057591  0.70993571  0.73311993  0.70971207   0.68480381  0.21931168  0.89374867  0.90160397  0.79254083  0.86398579   0.74976095  0.17174935  0.01074881  0.73065075  0.66950261  0.06179037   0.24950733  0.42863964  0.34331441  0.28474172  0.83093136  0.87246448   0.60963048  0.61949513  0.98164154  0.32595725  0.51505886  0.0482931   0.61965478  0.43050914  0.36554192  0.62757821  0.8781843   0.7111184   0.68375346  0.12206248  0.26778804  0.12176585  0.51207624  0.53641358   0.2159458   0.8583788   0.76958234  0.26198589  0.90323915  0.730194   0.50516997  0.11004015  0.76968541  0.38762794  0.56300061  0.69473991   0.62335079  0.52828422  0.64808198  0.71069467  0.68325757  0.57595726   0.59065479  0.22521456  0.40490819  0.46631275  0.8908816   0.18532379   0.6919936   0.49583497  0.30546965  0.16568883  0.29205631  0.69967988   0.30901502  0.72022045  0.80978221  0.75969827  0.41745631  0.83037494   0.74138244  0.21091405  0.97886681  0.19963802  0.77544136  0.20407663   0.28632128  0.10326768  0.15344768  0.64904245
1003-11153-22558	 0.18298736  0.98093788  0.98316577  0.19227547  0.02654467  0.58044819   0.78090102  0.14262488  0.86482643  0.20764433  0.85811797  0.33281407   0.39406011  0.60267824  0.19144467  0.65522113  0.81991674  0.21616627   0.1424664   0.41537771  0.07866857  0.90002831  0.55781147  0.86513255   0.62924841  0.52633077  0.24930865  0.67754795  0.6867772   0.01747782   0.3862995   0.63241889  0.94073604  0.31669193  0.6130683   0.78269024   0.43526146  0.49001531  0.89429311  0.07666956  0.91379768  0.35611464   0.10859474  0.31972825  0.47168572  0.49492543  0.64627714  0.87340449   0.72330159  0.52472524  0.44994579  0.55398004  0.83209395  0.01619604   0.97283086  0.98841166  0.06509641  0.36172771  0.09828674  0.84042601   0.86225228  0.18004181  0.79738846  0.44399201  0.68517562  0.30496134   0.01935593  0.99151576  0.05279647  0.5435103   0.09567779  0.76996496   0.83125813  0.03796463  0.36832865  0.64415409  0.31277377  0.44902056   0.13207177  0.52613561  0.96707606  0.57483922  0.37321368  0.21052591   0.72576744  0.16890292  0.88380454  0.54051494  0.14447632  0.5017964   0.05825726  0.75144034  0.28558593  0.8652552   0.73188332  0.4510806   0.15423389  0.71794505  0.0921055   0.99480679
10265-24318-22503	 0.20107876  0.22240558  0.5089666   0.18640335  0.01927838  0.51540736   0.14794854  0.53572009  0.10763243  0.87384808  0.78682402  0.95315886   0.68264085  0.03100098  0.3122344   0.41214168  0.27032253  0.08508584   0.46461118  0.34558971  0.13989189  0.40706227  0.40105416  0.30126386   0.86793919  0.68250361  0.07919425  0.6891969   0.1677764   0.35131486   0.15670593  0.92943386  0.25289378  0.83056645  0.48433788  0.27695121   0.54384093  0.98750598  0.31436465  0.19762275  0.28241574  0.31262926   0.02581026  0.57350046  0.95789167  0.95178123  0.12850168  0.20333641   0.52674202  0.1121219   0.16064216  0.09783392  0.22469152  0.49556669   0.41266033  0.25564032  0.04462315  0.95766674  0.90219768  0.59729526   0.72001437  0.56250381  0.80128414  0.1461063   0.09021753  0.34608665   0.56464214  0.46975743  0.16316687  0.91923924  0.59242166  0.4155951   0.13951986  0.99624067  0.39437336  0.45413606  0.98560755  0.9980046   0.48642666  0.38513533  0.66461511  0.18034645  0.93981861  0.83368158   0.42906759  0.50340423  0.82628991  0.46440529  0.2539037   0.73805011   0.99750349  0.69260413  0.53853     0.5798164   0.2327811   0.67259427   0.34154282  0.52571357  0.70512193  0.10367543
10347-8375-16107	 0.11927466  0.38544959  0.68586477  0.97252776  0.67956592  0.5923804   0.00106863  0.44939453  0.76731991  0.09116577  0.04257855  0.66625361   0.47287449  0.08791696  0.88180526  0.46359405  0.10162573  0.58259342   0.85689577  0.95110584  0.44227228  0.28962086  0.08156343  0.56840981   0.23652934  0.53562573  0.17301631  0.73585386  0.97503783  0.21953236   0.51973141  0.92946985  0.51207661  0.62669849  0.35890314  0.52348451   0.73488934  0.0186801   0.8318194   0.02589314  0.28294519  0.57968885   0.745178    0.67633094  0.27007839  0.47144851  0.69513771  0.20872269   0.00482009  0.29748445  0.18556129  0.44131861  0.83812157  0.76201481   0.16078817  0.36878488  0.2977297   0.18522915  0.34203019  0.10233111   0.1475077   0.81488869  0.03558248  0.41649946  0.84502761  0.95417864   0.63267284  0.80263567  0.60219811  0.38970268  0.69167056  0.46888119   0.9266461   0.69000777  0.21696629  0.32548435  0.43750205  0.01583932   0.03253387  0.36955688  0.54300525  0.54176028  0.93389606  0.55388876   0.56413884  0.38910278  0.6613651   0.50415993  0.93610877  0.98633313   0.90629665  0.37861709  0.18748043  0.59712599  0.84841143  0.62983302   0.99119768  0.71246659  0.6109536   0.67165906
10530-9485-20379	 0.44242906  0.4156756   0.06823244  0.20427365  0.06472148  0.44544539   0.39981269  0.82849554  0.08107831  0.63874756  0.9036768   0.71994612   0.32262178  0.79937942  0.51034987  0.93075229  0.68254792  0.00850568   0.4731417   0.53836871  0.30037156  0.24515227  0.20306977  0.35573799   0.11509788  0.52421068  0.24697543  0.54542917  0.86240476  0.28994561   0.66109371  0.8625415   0.88545664  0.58603963  0.82750069  0.12491204   0.94327285  0.15899197  0.60330447  0.88753147  0.14634669  0.81965281   0.09864088  0.3325252   0.32690485  0.17155825  0.20247768  0.87773375   0.52065452  0.80805846  0.74263415  0.46526571  0.02823496  0.25211584   0.09424651  0.20448401  0.64455676  0.25678439  0.18035357  0.29626429   0.48893689  0.05779605  0.82085316  0.11549228  0.05425187  0.84873563   0.08473975  0.43394146  0.45580518  0.75656279  0.87787719  0.83048747   0.23529578  0.30143908  0.14253212  0.76585846  0.50113097  0.32750767   0.59737406  0.71393891  0.72093898  0.81985345  0.14675335  0.67511326   0.37390504  0.09680205  0.3529564   0.12160937  0.85417964  0.22797199   0.76272574  0.16824694  0.83036385  0.02807369  0.13876839  0.73052856   0.55499773  0.54500347  0.61090802  0.86788985
10639-20469-22062	  6.87173219e-01   2.51590412e-01   5.14806405e-01   4.19788553e-01    3.59186796e-01   6.38667962e-01   8.39623563e-01   1.23057186e-01    9.65758691e-01   9.37655860e-01   9.65986164e-01   1.49392841e-01    3.95047280e-01   8.67355988e-01   8.69067923e-01   8.52410388e-02    1.27258601e-01   8.32301882e-01   6.03646078e-01   5.98578742e-01    2.66850372e-01   2.08543872e-01   6.29871693e-02   1.83897075e-03    6.53262324e-01   8.01527265e-01   5.02606944e-01   5.98095438e-01    2.02127439e-01   8.94580773e-01   1.89130496e-01   4.85024901e-01    1.84995590e-01   8.68964386e-01   9.48058833e-01   9.87300207e-01    7.36122031e-01   1.13254335e-04   5.74369738e-01   6.83740773e-01    6.75983921e-01   9.67438653e-01   9.48381543e-01   8.40635432e-01    5.26000164e-01   3.10157639e-01   7.55397586e-01   8.04465371e-01    1.23417640e-01   4.33600901e-01   2.74543998e-01   8.26471787e-01    6.64797116e-01   1.30715934e-01   6.16883108e-01   6.53206038e-02    5.06200583e-01   1.00470405e-01   5.78838252e-01   4.26289577e-01    8.25400296e-01   7.61165060e-01   2.92138022e-01   6.40996260e-01    4.85551150e-01   2.05386539e-01   6.11900096e-01   4.59644112e-01    4.83268869e-01   3.01967977e-01   1.69618348e-01   9.94089690e-01    6.05740212e-01   6.14777064e-01   4.50089448e-02   8.66474624e-01    5.18216270e-02   3.72686608e-01   8.69329655e-01   8.26031227e-02    5.02655987e-01   8.26019657e-02   1.31021036e-01   5.96326669e-01    1.82578579e-02   7.84396621e-01   8.28945623e-01   5.11134762e-01    6.29274955e-01   3.66288551e-01   2.27550096e-02   7.52059517e-01    4.33772341e-01   7.67022328e-02   5.19107796e-01   1.32326670e-01    2.64787077e-01   6.52963569e-01   8.07771094e-01   2.94532765e-02
10690-18667-24717	  6.93321077e-01   1.21887196e-01   1.65415100e-01   6.92940030e-01    7.63878300e-01   7.45231362e-01   1.00111677e-01   8.04652032e-02    9.77015814e-01   5.73526624e-01   2.50998561e-02   6.80138267e-01    7.42334495e-01   9.27710712e-01   4.46132150e-01   7.48351640e-01    9.47253883e-02   8.70403697e-01   1.75314360e-01   9.37342668e-01    1.02280937e-01   7.65966269e-01   4.39392506e-02   1.33588456e-01    9.31335832e-01   8.20738553e-01   6.63745708e-01   9.07646901e-01    4.20758634e-01   5.62303229e-01   6.16378206e-01   9.55692135e-01    2.56343103e-01   6.75305912e-01   4.44646334e-02   2.38749318e-02    5.51718870e-01   3.86102999e-01   8.59142237e-01   9.93908669e-01    1.54047978e-01   3.38782064e-01   5.19071796e-01   7.60091238e-01    1.34041426e-01   3.84851806e-01   8.21404069e-02   4.00222627e-02    8.06556873e-01   8.25490673e-01   2.64459518e-01   2.45665966e-01    8.64261095e-01   5.08610843e-01   1.88992893e-01   3.14215644e-01    8.92280241e-01   8.46505584e-01   8.63493206e-01   4.70688297e-01    9.74607529e-01   3.65216676e-01   5.88053602e-01   5.67360666e-02    8.50065959e-01   2.28980208e-01   5.06899170e-01   5.88257568e-01    8.01607867e-01   7.32709918e-02   9.37409351e-04   5.98505897e-01    3.71787792e-01   7.09755518e-01   1.40412940e-01   9.12980594e-01    3.98838261e-02   5.74964270e-01   8.86058443e-01   2.17112718e-01    8.27360778e-01   4.48295938e-02   7.49006120e-01   1.54910194e-01    5.71286623e-01   4.43690240e-01   4.54347102e-01   6.03610635e-01    5.19124437e-01   3.45984050e-01   8.53388673e-01   7.39497887e-02    6.42764680e-01   2.00748306e-01   5.74776221e-01   8.78102587e-01    5.02402694e-01   4.59631507e-01   3.53445634e-01   2.88672091e-01
10743-32287-3085	 0.49835372  0.34228725  0.47904039  0.94597388  0.86208044  0.73741224   0.81432284  0.6532329   0.66618981  0.59631244  0.71488699  0.99371065   0.32551996  0.54997133  0.91794182  0.36320341  0.13308002  0.18902721   0.46660183  0.06819275  0.2923681   0.17384388  0.91789413  0.13865596   0.8508907   0.79832252  0.69498016  0.14007214  0.93190876  0.38577123   0.5959385   0.09004516  0.97205998  0.0771197   0.02230062  0.98240987   0.11989232  0.23851552  0.93150427  0.66138719  0.04685232  0.62585121   0.4367945   0.01171097  0.17807951  0.29008204  0.17425165  0.94486217   0.3854944   0.74057677  0.12352701  0.53937696  0.77882614  0.59582101   0.17452057  0.78652108  0.79392669  0.70236811  0.92976685  0.40180714   0.11670639  0.07186532  0.05023137  0.85605254  0.37613975  0.12700636   0.78812478  0.37302707  0.82901898  0.04068387  0.3216332   0.86917023   0.19333134  0.59681891  0.26272808  0.4851887   0.9126818   0.75484717   0.3282534   0.28445828  0.923033    0.2758249   0.43430787  0.8422846   0.90826833  0.15487616  0.72203423  0.28126819  0.50769536  0.76550684   0.48323485  0.99035626  0.97627046  0.72528287  0.09194859  0.5885144   0.1813436   0.58922666  0.85450334  0.28445845
1076-15709-16801	 0.49596375  0.8399409   0.45384769  0.4978631   0.23154597  0.3457794   0.99179222  0.71676957  0.72625884  0.99909522  0.8968446   0.13751025   0.76840247  0.54019828  0.42041938  0.88619428  0.74961375  0.4362901   0.53875936  0.96004847  0.68070912  0.92528139  0.22475228  0.37023161   0.87358777  0.673937    0.94567596  0.7438308   0.29048175  0.08047193   0.12501924  0.92773294  0.41464431  0.11621296  0.97603976  0.1789122   0.14884526  0.0236554   0.85861733  0.0832617   0.51044744  0.48873304   0.47595053  0.91768239  0.25319655  0.64912525  0.65964514  0.84927678   0.68601575  0.52357325  0.33704142  0.02058278  0.03023894  0.99834251   0.58681913  0.64224351  0.03552966  0.06887767  0.13098556  0.88213741   0.1864964   0.91283615  0.55123186  0.29432481  0.52325488  0.88238209   0.7868796   0.46979389  0.33853959  0.9588567   0.76096541  0.78019437   0.78458406  0.57108142  0.19112926  0.4451173   0.23121459  0.51374648   0.60027944  0.14738269  0.63529427  0.00324021  0.32371781  0.11547675   0.72929793  0.1306327   0.98828377  0.55738806  0.52551093  0.0709919   0.02267259  0.29760456  0.44897693  0.38734282  0.98239149  0.76053685   0.57796719  0.46639426  0.57026872  0.85972159
10940-2896-17135	 0.19496028  0.28403494  0.09977301  0.09975923  0.06789259  0.99603423   0.25876546  0.6196395   0.25733518  0.10136435  0.65232129  0.72270099   0.646601    0.48337639  0.87245339  0.97204006  0.01813286  0.55003113   0.7587151   0.84846434  0.8888262   0.88271942  0.58322907  0.4127457   0.82886038  0.14633592  0.5961408   0.98165076  0.98474667  0.62639404   0.78070312  0.8376356   0.86099925  0.52174706  0.57678131  0.85926369   0.77623376  0.76557042  0.32543525  0.43554815  0.45834972  0.01626583   0.55133783  0.56233615  0.01097462  0.29651161  0.76993001  0.84876723   0.91475373  0.28237953  0.8141933   0.54462732  0.15555395  0.14473392   0.09805904  0.09559072  0.23835183  0.22316096  0.09846041  0.96925151   0.35359717  0.11385709  0.58072297  0.08846368  0.06863429  0.95350082   0.30186214  0.68771425  0.79832816  0.66429593  0.60539128  0.10138547   0.70944734  0.47082357  0.08234205  0.17950203  0.32144334  0.32074616   0.87010476  0.41257139  0.49847898  0.08039831  0.93742332  0.42106502   0.72213809  0.94702238  0.46997386  0.74096552  0.72582152  0.00811489   0.48254038  0.23873625  0.11343133  0.60152556  0.51743693  0.29177493   0.0280093   0.03787297  0.84323152  0.40670655
